ID;ID_On_Plate;Experimentor;Testing_Date;Plate
12041831;1;Liwei;20190221;1
12040461;2;Liwei;20190221;1
12042639;3;Liwei;20190221;1
12042471;4;Liwei;20190221;1
21090028;5;Liwei;20190221;1
21090618;6;Liwei;20190221;1
12041784;7;Liwei;20190221;1
12041636;8;Liwei;20190221;1
12041296;9;Liwei;20190221;1
12042624;10;Liwei;20190221;1
12041372;11;Liwei;20190221;1
75010048;12;Liwei;20190221;1
12042559;13;Liwei;20190221;1
12041969;14;Liwei;20190221;1
12041079;15;Liwei;20190221;1
21090592;16;Liwei;20190221;1
12040073;17;Liwei;20190221;1
12041601;18;Liwei;20190221;1
12041215;19;Liwei;20190221;1
12040900;20;Liwei;20190221;1
21090434;21;Liwei;20190221;1
12040122;22;Liwei;20190221;1
12041313;23;Liwei;20190221;1
21090036;24;Liwei;20190221;1
12041029;25;Liwei;20190221;1
12040580;26;Liwei;20190221;1
12042169;27;Liwei;20190221;1
21090608;28;Liwei;20190221;1
12041007;29;Liwei;20190221;1
71010075;30;Liwei;20190221;1
Ctrl_plt1;Control;Liwei;20190221;1
12041854;1;Sandra;20190221;2
12040509;2;Sandra;20190221;2
12041408;3;Sandra;20190221;2
12040604;4;Sandra;20190221;2
12041582;5;Sandra;20190221;2
71010008;6;Sandra;20190221;2
12040911;7;Sandra;20190221;2
12040473;8;Sandra;20190221;2
12041912;9;Sandra;20190221;2
21090441;10;Sandra;20190221;2
12041564;11;Sandra;20190221;2
12042213;12;Sandra;20190221;2
12041387;13;Sandra;20190221;2
12042497;14;Sandra;20190221;2
12040670;15;Sandra;20190221;2
12041021;16;Sandra;20190221;2
12040873;17;Sandra;20190221;2
12040467;18;Sandra;20190221;2
71010012;19;Sandra;20190221;2
21090285;20;Sandra;20190221;2
12040799;21;Sandra;20190221;2
12041519;22;Sandra;20190221;2
21090894;23;Sandra;20190221;2
12041656;24;Sandra;20190221;2
12041850;25;Sandra;20190221;2
12041606;26;Sandra;20190221;2
12041963;27;Sandra;20190221;2
12041742;28;Sandra;20190221;2
12041417;29;Sandra;20190221;2
12042571;30;Sandra;20190221;2
Ctrl_plt2;Control;Sandra;20190221;2